iter	RMSE
0	1.407018511
1	1.370853319
2	1.33039002
3	1.293276811
4	1.259726371
5	1.227913811
6	1.200091072
7	1.171519759
8	1.145486407
9	1.120048616
10	1.09544795
11	1.071314165
12	1.047664009
13	1.025680307
14	1.003967592
15	0.9833795882
16	0.9648216583
17	0.9475765822
18	0.9294371011
19	0.9128064508
20	0.9004323681
21	0.8858973697
22	0.8707038542
23	0.8565318345
24	0.8438651731
25	0.832972779
26	0.8231411976
27	0.8134549628
28	0.8053002296
29	0.7964664286
30	0.786665388
31	0.7779485088
32	0.769679779
33	0.760643064
34	0.7528075119
35	0.7451931508
36	0.7378130748
37	0.7299571599
38	0.7243684178
39	0.7182780927
40	0.7140327025
41	0.7071037102
42	0.7030528221
43	0.6970184001
44	0.6920143263
45	0.687506195
46	0.6820952397
47	0.6783756034
48	0.6747252871
49	0.6699833205
50	0.6658724455
51	0.6626748874
52	0.6587991918
53	0.6557777044
54	0.6526350183
55	0.6492539447
56	0.6465621703
57	0.6433575751
58	0.6398384438
59	0.6377962626
60	0.6337144398
61	0.6306903932
62	0.6281782025
63	0.6256395473
64	0.6228438761
65	0.6208023333
66	0.6180581317
67	0.6152675888
68	0.6132074373
69	0.6096334749
70	0.607330816
71	0.6058620089
72	0.603714963
73	0.602809695
74	0.6011642331
75	0.5993809859
76	0.5975873729
77	0.5955859257
78	0.5928852022
79	0.59066074
80	0.5889084902
81	0.5876250229
82	0.5866809193
83	0.58578911
84	0.5836201605
85	0.5823065825
86	0.5790479207
87	0.576444241
88	0.5748711382
89	0.5731153975
90	0.570835801
91	0.5700707681
92	0.5686600633
93	0.5677111006
94	0.5654797201
95	0.5643470457
96	0.5623112801
97	0.5612815052
98	0.5599368452
99	0.5587282335
100	0.5576435613
101	0.5571554803
102	0.5555185348
103	0.5539870625
104	0.5516981848
105	0.5496657989
106	0.54856213
107	0.5466897931
108	0.545478743
109	0.5444551913
110	0.5436952843
111	0.5421684899
112	0.5405959552
113	0.5398106549
114	0.5391816769
115	0.5387501365
116	0.5374413189
117	0.5360425429
118	0.5353526923
119	0.5343652699
120	0.5329150141
121	0.5323577757
122	0.5297332284
123	0.5288667844
124	0.528411973
125	0.5279130124
126	0.5272076889
127	0.5259501971
128	0.5248636581
129	0.5240562794
130	0.5234376561
131	0.5224896195
132	0.5219095265
133	0.5209923951
134	0.5203601221
135	0.5187240041
136	0.5174875244
137	0.5157560696
138	0.5142791941
139	0.5139779029
140	0.5131996885
141	0.5122173926
142	0.5105824325
143	0.5098559686
144	0.5094836607
145	0.508573881
146	0.5057894409
147	0.5038843733
148	0.5032906642
149	0.502120563
150	0.5015615056
151	0.5011940064
152	0.5007224622
153	0.5002554885
154	0.4998312409
155	0.4974166671
156	0.4968408616
157	0.4964245427
158	0.4952606929
159	0.4948104806
160	0.4939474241
161	0.4928228422
162	0.4923829354
163	0.4917606841
164	0.4909001278
165	0.4904839348
166	0.4899626416
167	0.4895116095
168	0.487901899
169	0.4875160593
170	0.4870792676
171	0.4866835696
172	0.4863146364
173	0.4859244593
174	0.4855497925
175	0.4840403292
176	0.4836386027
177	0.4832962397
178	0.4815861567
179	0.4812322367
180	0.4781900062
181	0.4757548081
182	0.4743549898
183	0.473821989
184	0.4725754581
185	0.4715965388
186	0.4697125654
187	0.4693858482
188	0.467527712
189	0.4666099181
190	0.466265822
191	0.4659289577
192	0.4651539963
193	0.4648271101
194	0.4640938079
195	0.4630522553
196	0.4612638945
197	0.4597018764
198	0.4592118403
199	0.4578189882
200	0.4575162914
201	0.4565839541
202	0.4546895451
203	0.4541279444
204	0.4535875961
205	0.4528803917
206	0.4510666568
207	0.4500851046
208	0.4494508881
209	0.448526049
210	0.4478311585
211	0.4475275146
212	0.4469244733
213	0.4464462413
214	0.445543484
215	0.4448930583
216	0.4436549736
217	0.4427028108
218	0.4412759798
219	0.4406380487
220	0.4401801113
221	0.4398991327
222	0.4376803477
223	0.4372399727
224	0.4357824872
225	0.4355003455
226	0.4349929789
227	0.43471086
228	0.4338039966
229	0.4320991657
230	0.4301195457
231	0.4290616251
232	0.4282412398
233	0.426944288
234	0.4258640154
235	0.4243174388
236	0.4221673312
237	0.4217007797
238	0.4205734378
239	0.4196412659
240	0.4176882327
241	0.4172464644
242	0.4165729906
243	0.4163084394
244	0.414432402
245	0.4137898693
246	0.4134363846
247	0.4131789869
248	0.4115906529
249	0.4110435416
250	0.4088112615
251	0.4070410198
252	0.4065693661
253	0.4055167572
254	0.40526619
255	0.4045616207
256	0.4043120841
257	0.4039065547
258	0.4036666767
259	0.4024110755
260	0.4022139584
261	0.4006604855
262	0.4003282326
263	0.3994891589
264	0.3989275434
265	0.3987227967
266	0.3984518683
267	0.3971597168
268	0.3968295604
269	0.3952678449
270	0.3940376039
271	0.3936720342
272	0.3934158011
273	0.3926220054
274	0.3921682435
275	0.3907540497
276	0.3905014142
277	0.3901388252
278	0.3898612653
279	0.388850457
280	0.387022841
281	0.3865026265
282	0.3849704996
283	0.3846082786
284	0.3832925396
285	0.3823501202
286	0.3819293346
287	0.3815745573
288	0.3805517555
289	0.3802912115
290	0.3794527306
291	0.3791920377
292	0.3783837846
293	0.3773876956
294	0.376739648
295	0.3759065703
296	0.3751872199
297	0.3744027494
298	0.3740979146
299	0.373609093
300	0.3727384219
301	0.3725306908
302	0.372343209
303	0.3720407821
304	0.3709370288
305	0.3705940625
306	0.3702350928
307	0.3691066354
308	0.3687173835
309	0.3683813194
310	0.3680017825
311	0.3671448613
312	0.3668489309
313	0.3660927362
314	0.365283889
315	0.3649369084
316	0.3646533638
317	0.364384012
318	0.3637065569
319	0.3635085957
320	0.3628639262
321	0.3625874719
322	0.3617539678
323	0.361537022
324	0.3613419429
325	0.3609796976
326	0.3604795696
327	0.3601917797
328	0.3599176875
329	0.3588762502
330	0.3578467864
331	0.3574537958
332	0.356879376
333	0.3566855945
334	0.3560196713
335	0.3557697029
336	0.3550931692
337	0.3541090703
338	0.3538472494
339	0.353679224
340	0.3525033829
341	0.3513265948
342	0.3510263038
343	0.3508409862
344	0.3505415588
345	0.3490288007
346	0.3487272387
347	0.3482221683
348	0.3474003941
349	0.347159316
350	0.3469330701
351	0.3467648523
352	0.346485575
353	0.346209062
354	0.3448964145
355	0.3446202225
356	0.3443716849
357	0.3434761711
358	0.3427393839
359	0.342401968
360	0.3422384575
361	0.3419148232
362	0.3417456384
363	0.3414830393
364	0.3411175513
365	0.3402614524
366	0.3391912485
367	0.3379625325
368	0.3371470649
369	0.336389997
370	0.3362393813
371	0.3360815099
372	0.3349693404
373	0.3347146155
374	0.3340528149
375	0.3335610992
376	0.3330903614
377	0.3320087487
378	0.3316186266
379	0.3310314352
380	0.3308757734
381	0.3307244568
382	0.3304175443
383	0.3290646781
384	0.3281806363
385	0.3279132005
386	0.3276851058
387	0.3271089535
388	0.3262742714
389	0.3261115417
390	0.3258231622
391	0.3251379649
392	0.3244162751
393	0.3231735952
394	0.3224367533
395	0.3222911584
396	0.3221354847
397	0.3213716006
398	0.3212392106
399	0.3204793262
400	0.3201371614
401	0.3198392739
402	0.319721248
403	0.3194213114
404	0.3182857986
405	0.3174923205
406	0.3170975898
407	0.3164239141
408	0.3160885589
409	0.3158577971
410	0.3153952191
411	0.3150172088
412	0.3145024409
413	0.3143593683
