iter	Passed	Remaining
0	3	1670
1	5	1439
2	8	1377
3	11	1371
4	13	1327
5	16	1331
6	18	1313
7	21	1297
8	23	1305
9	26	1297
10	28	1285
11	31	1281
12	34	1299
13	37	1290
14	40	1298
15	42	1288
16	44	1277
17	47	1271
18	49	1265
19	52	1265
20	55	1264
21	58	1278
22	61	1273
23	64	1273
24	67	1278
25	70	1283
26	73	1281
27	75	1274
28	78	1268
29	80	1261
30	82	1255
31	86	1260
32	88	1254
33	91	1250
34	93	1245
35	96	1239
36	98	1232
37	101	1229
38	104	1230
39	106	1226
40	109	1222
41	111	1219
42	114	1218
43	117	1218
44	120	1214
45	122	1210
46	125	1206
47	127	1203
48	130	1201
49	134	1213
50	137	1213
51	140	1213
52	143	1211
53	146	1206
54	148	1204
55	151	1198
56	153	1194
57	156	1190
58	158	1186
59	161	1182
60	163	1178
61	166	1173
62	168	1168
63	171	1167
64	173	1163
65	176	1158
66	178	1154
67	181	1150
68	183	1144
69	185	1140
70	187	1135
71	190	1131
72	193	1130
73	195	1126
74	198	1123
75	201	1121
76	203	1117
77	205	1112
78	208	1109
79	210	1105
80	213	1102
81	215	1098
82	217	1094
83	220	1090
84	222	1085
85	224	1082
86	227	1078
87	229	1075
88	232	1071
89	234	1068
90	237	1065
91	239	1062
92	241	1058
93	244	1055
94	246	1051
95	249	1048
96	251	1045
97	253	1041
98	256	1038
99	258	1034
100	261	1031
101	264	1030
102	266	1026
103	268	1023
104	271	1019
105	273	1017
106	275	1013
107	278	1010
108	280	1007
109	283	1004
110	285	1001
111	288	997
112	290	994
113	292	991
114	295	988
115	297	985
116	299	981
117	302	978
118	304	975
119	307	973
120	309	969
121	312	966
122	314	963
123	317	962
124	319	959
125	321	955
126	324	952
127	326	949
128	329	947
129	331	943
130	333	940
131	336	937
132	338	934
133	340	931
134	343	928
135	345	924
136	347	921
137	350	919
138	353	917
139	355	914
140	358	911
141	360	909
142	363	906
143	365	903
144	367	900
145	370	897
146	372	894
147	375	892
148	378	890
149	380	887
150	382	884
151	385	881
152	387	878
153	389	875
154	392	874
155	395	871
156	397	868
157	399	865
158	402	862
159	404	859
160	406	856
161	409	854
162	411	851
163	413	848
164	416	845
165	418	842
166	421	839
167	423	836
168	425	833
169	428	830
170	430	828
171	432	825
172	435	822
173	437	819
174	439	816
175	442	813
176	444	811
177	447	810
178	450	807
179	452	804
180	455	803
181	458	801
182	461	799
183	464	798
