rank,feature,importance_mean,importance_standard_deviation,absolute_importance
1,log_kow,0.5193184648170927,0.03689025108366015,0.5193184648170927
2,descriptor_MolLogP,0.1132390607266142,0.013930495639521477,0.1132390607266142
3,descriptor_TPSA,0.015560817453518231,0.005990919793111328,0.015560817453518231
4,descriptor_VSA_EState2,0.013285258936221294,0.006288986833087217,0.013285258936221294
5,descriptor_SMR_VSA7,0.012503437105355394,0.004204896353092518,0.012503437105355394
6,descriptor_VSA_EState10,0.01041768517274905,0.003925654634532708,0.01041768517274905
7,descriptor_SlogP_VSA7,0.008278572512087672,0.002747962840334225,0.008278572512087672
8,descriptor_Kappa2,0.006470355718062754,0.0033367912716760536,0.006470355718062754
9,descriptor_Phi,0.005532866975538597,0.003597149575687977,0.005532866975538597
10,descriptor_BCUT2D_MWLOW,0.0050828448685483665,0.0027538133530866896,0.0050828448685483665
11,descriptor_BCUT2D_MRLOW,0.004858525383022588,0.002298407155374499,0.004858525383022588
12,descriptor_PEOE_VSA1,0.004167708552952063,0.0027105773092077094,0.004167708552952063
13,descriptor_VSA_EState5,0.004006258737717589,0.001583585469559297,0.004006258737717589
14,descriptor_MaxAbsPartialCharge,0.00388454557016914,0.0021943070652741584,0.00388454557016914
15,descriptor_Chi1n,-0.003429856732768824,0.0018941651299614276,0.003429856732768824
16,descriptor_PEOE_VSA14,0.003037005005931495,0.0013609448387173677,0.003037005005931495
17,descriptor_fr_COO,0.002979982803593259,0.003622042684703501,0.002979982803593259
18,descriptor_EState_VSA9,0.0027079748704607553,0.0024957538761632946,0.0027079748704607553
19,descriptor_AvgIpc,0.0026739692004081354,0.0023516718147605312,0.0026739692004081354
20,descriptor_SlogP_VSA2,0.002451804860372028,0.002161554366683576,0.002451804860372028
21,descriptor_BCUT2D_CHGHI,0.002291493933015293,0.0030342345383082515,0.002291493933015293
22,descriptor_SPS,-0.002150841871311629,0.0017761436765124671,0.002150841871311629
23,descriptor_Chi1v,-0.0020262171612033366,0.0016189403260846082,0.0020262171612033366
24,fingerprint_486,0.0019405314627823854,0.0009361739855551172,0.0019405314627823854
25,descriptor_FpDensityMorgan3,-0.0019075305142422228,0.0023705016447003575,0.0019075305142422228
26,descriptor_Chi4v,0.001715759069149217,0.00100928722465196,0.001715759069149217
27,fingerprint_1394,0.0017082373030211512,0.001145435091750051,0.0017082373030211512
28,descriptor_PEOE_VSA6,-0.001653738238339139,0.0012513784357497352,0.001653738238339139
29,descriptor_SMR_VSA6,0.0016202549776238,0.0015388033475329504,0.0016202549776238
30,descriptor_SMR_VSA5,-0.0015871672758235172,0.0008338243044176434,0.0015871672758235172
31,descriptor_SMR_VSA9,0.0015180928337053784,0.0017150455953420158,0.0015180928337053784
32,descriptor_VSA_EState7,0.0014468381222126404,0.0015366827055839844,0.0014468381222126404
33,descriptor_PEOE_VSA10,0.0014276676963101281,0.0007675484389795892,0.0014276676963101281
34,descriptor_PEOE_VSA7,0.0013941491630701575,0.0013217831940781426,0.0013941491630701575
35,descriptor_fr_Ar_OH,0.001333234382969012,0.0007233501225124579,0.001333234382969012
36,descriptor_BCUT2D_LOGPLOW,-0.0013218743471112653,0.0006866452438650055,0.0013218743471112653
37,descriptor_Chi3v,0.0012996039769418877,0.0011060566300506729,0.0012996039769418877
38,descriptor_EState_VSA10,0.0012806778179024815,0.00044015115889163656,0.0012806778179024815
39,descriptor_VSA_EState9,0.0012467949722875875,0.0015933431224843038,0.0012467949722875875
40,descriptor_fr_Ar_COO,0.0012394844533980876,0.0007208122185115916,0.0012394844533980876
41,descriptor_NumHDonors,0.0012274823348336656,0.0034988370645696004,0.0012274823348336656
42,descriptor_Kappa3,0.0012040477344449768,0.001313716386590062,0.0012040477344449768
43,fingerprint_1888,0.0011656461353852954,0.0007003945234213437,0.0011656461353852954
44,descriptor_BalabanJ,0.0011150650800873575,0.0013384628205333259,0.0011150650800873575
45,fingerprint_728,0.0011120834612058956,0.0005128845611608377,0.0011120834612058956
46,descriptor_MinAbsEStateIndex,0.0010926861741913847,0.0013235550343738908,0.0010926861741913847
47,fingerprint_1443,-0.0010398473410454328,0.0011034715591808303,0.0010398473410454328
