rank,model_name,feature_group,feature_count,train_rows,test_rows,mae,rmse,r2,model_path
1,xgboost,combined,2050,743,313,0.4301098906851043,0.5678852194866558,0.7247424048367263,models/scaffold_validation/combined/xgboost.joblib
2,catboost,combined,2050,743,313,0.4436565469010529,0.5824246550785879,0.7104672582538321,models/scaffold_validation/combined/catboost.joblib
3,xgboost,descriptors_logkow,205,743,313,0.4469296486109209,0.5856470631187501,0.7072545726895881,models/scaffold_validation/descriptors_logkow/xgboost.joblib
4,catboost,descriptors_logkow,205,743,313,0.4676402301639694,0.6033123803665937,0.689327612148923,models/scaffold_validation/descriptors_logkow/catboost.joblib
5,catboost,descriptors_only,204,743,313,0.5028783741684368,0.6490850466918018,0.6403985874793217,models/scaffold_validation/descriptors_only/catboost.joblib
6,xgboost,descriptors_only,204,743,313,0.524255189713769,0.6837051913969995,0.60101558139411,models/scaffold_validation/descriptors_only/xgboost.joblib
7,catboost,logkow_only,1,743,313,0.5277791723777303,0.697805396728452,0.5843891962934149,models/scaffold_validation/logkow_only/catboost.joblib
8,random_forest,descriptors_logkow,205,743,313,0.5444107923322684,0.6775838993044617,0.608127907287017,models/scaffold_validation/descriptors_logkow/random_forest.joblib
9,random_forest,combined,2050,743,313,0.563492891373802,0.69831954853107,0.5837765161147639,models/scaffold_validation/combined/random_forest.joblib
10,xgboost,logkow_only,1,743,313,0.5727435424638251,0.7640067252796512,0.5017898814950841,models/scaffold_validation/logkow_only/xgboost.joblib
11,random_forest,descriptors_only,204,743,313,0.5914380702875401,0.7355742393562837,0.5381816308249798,models/scaffold_validation/descriptors_only/random_forest.joblib
12,linear_regression,logkow_only,1,743,313,0.6031607114771277,0.7868147220219238,0.4715996028509869,models/scaffold_validation/logkow_only/linear_regression.joblib
13,ridge,logkow_only,1,743,313,0.6034893593079428,0.7870095730754129,0.47133785858038646,models/scaffold_validation/logkow_only/ridge.joblib
14,random_forest,logkow_only,1,743,313,0.6217244334189068,0.8186396913595435,0.42798979703442463,models/scaffold_validation/logkow_only/random_forest.joblib
15,ridge,descriptors_only,204,743,313,0.641831988049972,0.808795962303255,0.4416633588491802,models/scaffold_validation/descriptors_only/ridge.joblib
16,ridge,descriptors_logkow,205,743,313,0.6540338244345253,0.8148066543343656,0.43333379234787794,models/scaffold_validation/descriptors_logkow/ridge.joblib
17,linear_regression,descriptors_only,204,743,313,0.6755885133234992,0.8463214011547366,0.3886515338858365,models/scaffold_validation/descriptors_only/linear_regression.joblib
18,linear_regression,descriptors_logkow,205,743,313,0.6920536655157803,0.8578615446187098,0.3718655963221428,models/scaffold_validation/descriptors_logkow/linear_regression.joblib
19,catboost,fingerprints_only,1845,743,313,0.8742055843854176,1.0258816383063816,0.10171800676737774,models/scaffold_validation/fingerprints_only/catboost.joblib
20,xgboost,fingerprints_only,1845,743,313,0.9006677253763324,1.0579579010699995,0.04466661843831976,models/scaffold_validation/fingerprints_only/xgboost.joblib
21,random_forest,fingerprints_only,1845,743,313,0.9687459080720493,1.1214625827564986,-0.07346467319643524,models/scaffold_validation/fingerprints_only/random_forest.joblib
22,ridge,combined,2050,743,313,0.9696826120193978,1.2330503346837238,-0.29771639504472414,models/scaffold_validation/combined/ridge.joblib
23,ridge,fingerprints_only,1845,743,313,1.115112107058492,1.393285938730826,-0.6569091220675249,models/scaffold_validation/fingerprints_only/ridge.joblib
24,linear_regression,fingerprints_only,1845,743,313,1.7117990940874985,2.211505187814327,-3.1744004213950623,models/scaffold_validation/fingerprints_only/linear_regression.joblib
25,linear_regression,combined,2050,743,313,67.87832840671432,141.2519785652597,-17028.710310482522,models/scaffold_validation/combined/linear_regression.joblib
