rank,feature,mean_absolute_shap
1,log_kow,0.66898763
2,descriptor_MolLogP,0.16882513
3,descriptor_TPSA,0.06755254
4,descriptor_VSA_EState2,0.054810908
5,descriptor_VSA_EState10,0.049248952
6,descriptor_Chi0n,0.040276952
7,descriptor_SlogP_VSA7,0.030471973
8,descriptor_Phi,0.029399414
9,descriptor_NumHDonors,0.027758248
10,descriptor_SMR_VSA7,0.026847063
11,descriptor_Kappa2,0.025898142
12,descriptor_EState_VSA9,0.024958346
13,descriptor_MaxAbsPartialCharge,0.023647131
14,descriptor_PEOE_VSA1,0.022473976
15,descriptor_BCUT2D_CHGHI,0.022215337
16,descriptor_SlogP_VSA2,0.02217629
17,descriptor_BCUT2D_MWLOW,0.020889966
18,descriptor_EState_VSA5,0.020031437
19,descriptor_Chi1n,0.019381763
20,descriptor_fr_COO,0.016213015
21,descriptor_BCUT2D_MRLOW,0.01614122
22,descriptor_MaxAbsEStateIndex,0.015994558
23,descriptor_FpDensityMorgan3,0.015688052
24,descriptor_PEOE_VSA8,0.015474711
25,descriptor_VSA_EState5,0.015152214
26,descriptor_Chi1v,0.015083084
27,descriptor_qed,0.014556932
28,descriptor_SPS,0.014461923
29,descriptor_HallKierAlpha,0.013819436
30,descriptor_PEOE_VSA14,0.012897811
31,descriptor_PEOE_VSA9,0.012017164
32,descriptor_BCUT2D_LOGPHI,0.011959515
33,descriptor_VSA_EState3,0.010383456
34,descriptor_AvgIpc,0.010379143
35,descriptor_VSA_EState6,0.010115963
36,descriptor_fr_halogen,0.009931274
37,descriptor_EState_VSA4,0.009928225
38,descriptor_SMR_VSA9,0.009786208
39,descriptor_BertzCT,0.009639345
40,descriptor_VSA_EState4,0.00944504
41,descriptor_MinAbsEStateIndex,0.009277558
42,descriptor_Kappa3,0.009176166
43,descriptor_Chi3v,0.00900828
44,descriptor_FpDensityMorgan1,0.008860685
45,descriptor_BalabanJ,0.008748229
46,descriptor_SMR_VSA6,0.008597385
47,descriptor_PEOE_VSA6,0.007951549
48,fingerprint_807,0.007714444
49,descriptor_MinPartialCharge,0.0076671722
50,descriptor_PEOE_VSA7,0.007482745
51,descriptor_EState_VSA6,0.00728142
52,descriptor_VSA_EState7,0.0069946176
53,descriptor_LabuteASA,0.0069012567
54,descriptor_Chi4v,0.006856862
55,descriptor_NHOHCount,0.006850239
56,descriptor_BCUT2D_CHGLO,0.006228427
57,descriptor_MolMR,0.006115751
58,descriptor_SlogP_VSA5,0.00611491
59,fingerprint_486,0.0059153815
60,descriptor_FpDensityMorgan2,0.005735121
61,descriptor_Chi3n,0.005672668
62,descriptor_MolWt,0.0055511487
63,descriptor_SlogP_VSA8,0.0054852418
64,descriptor_MinAbsPartialCharge,0.00540467
65,descriptor_SlogP_VSA10,0.0053184815
66,descriptor_fr_C_O,0.005180025
67,descriptor_VSA_EState9,0.005179104
68,descriptor_EState_VSA1,0.005062853
69,descriptor_MaxPartialCharge,0.005015488
70,descriptor_Kappa1,0.0048803124
71,descriptor_NumRotatableBonds,0.004719854
72,descriptor_Chi2n,0.004718596
73,descriptor_SMR_VSA5,0.004683739
74,descriptor_EState_VSA3,0.0046047084
75,descriptor_NumHeteroatoms,0.0045278226
76,descriptor_PEOE_VSA10,0.0044546938
77,fingerprint_366,0.0044540986
78,descriptor_Chi2v,0.0044526155
79,fingerprint_1087,0.004448988
80,descriptor_BCUT2D_LOGPLOW,0.0042988774
81,descriptor_PEOE_VSA11,0.004241802
82,descriptor_Chi0v,0.004131644
83,descriptor_MinEStateIndex,0.004010907
84,descriptor_Ipc,0.003982554
85,descriptor_PEOE_VSA12,0.0039708503
86,fingerprint_114,0.003929391
87,descriptor_FractionCSP3,0.0038977633
88,fingerprint_1394,0.003687752
89,descriptor_SMR_VSA10,0.0036348582
90,descriptor_EState_VSA10,0.003605213
91,descriptor_EState_VSA2,0.0035853942
92,descriptor_EState_VSA8,0.0034760085
93,descriptor_SlogP_VSA11,0.0034346383
94,descriptor_SMR_VSA1,0.0034057752
95,fingerprint_1,0.0032946074
96,descriptor_Chi4n,0.0032883869
97,descriptor_VSA_EState1,0.0032170797
98,descriptor_fr_Ar_COO,0.0032096985
99,descriptor_BCUT2D_MWHI,0.0031933356
100,descriptor_BCUT2D_MRHI,0.0031724027
101,fingerprint_974,0.0031498573
102,descriptor_Chi0,0.0030343996
103,descriptor_SlogP_VSA3,0.0028786485
104,descriptor_HeavyAtomMolWt,0.0028581119
105,descriptor_PEOE_VSA13,0.002825508
106,fingerprint_562,0.002784749
107,descriptor_Chi1,0.002765562
108,descriptor_fr_Ar_OH,0.002763781
109,fingerprint_216,0.0027348036
110,descriptor_VSA_EState8,0.0025914023
111,descriptor_ExactMolWt,0.002585052
112,descriptor_EState_VSA7,0.0025216446
113,descriptor_SlogP_VSA6,0.0024788177
114,fingerprint_1088,0.0024675066
115,fingerprint_1443,0.002429814
116,descriptor_MaxEStateIndex,0.0023922608
117,descriptor_PEOE_VSA2,0.0023109808
118,fingerprint_816,0.0022581797
119,fingerprint_1039,0.0022559783
120,descriptor_NumHAcceptors,0.0021557685
121,descriptor_NumAromaticRings,0.0021494962
122,descriptor_NumValenceElectrons,0.0020218785
123,fingerprint_728,0.001940585
124,fingerprint_1888,0.0019341601
125,fingerprint_1440,0.0019122905
126,descriptor_fr_C_O_noCOO,0.0018990217
127,fingerprint_1199,0.0018943306
128,fingerprint_899,0.001883097
129,descriptor_fr_para_hydroxylation,0.0018272442
130,fingerprint_1739,0.0018237001
131,fingerprint_116,0.0017960394
132,fingerprint_1768,0.0016813906
133,descriptor_fr_COO2,0.0016735966
134,descriptor_fr_aryl_methyl,0.00161458
135,descriptor_SlogP_VSA4,0.0015570554
136,fingerprint_80,0.0015079797
137,fingerprint_81,0.0015051968
138,descriptor_PEOE_VSA3,0.0014736636
139,fingerprint_202,0.0014647769
140,fingerprint_1984,0.0014258827
141,fingerprint_598,0.0013950849
142,fingerprint_1535,0.0013789169
143,fingerprint_675,0.001340028
144,fingerprint_1415,0.0012456895
145,descriptor_PEOE_VSA4,0.0012232406
146,fingerprint_749,0.0012023645
147,fingerprint_1011,0.0011988215
148,fingerprint_352,0.0011970701
149,fingerprint_888,0.0011484209
150,descriptor_fr_Imine,0.0011434527
151,descriptor_fr_NH0,0.0011273699
152,fingerprint_1955,0.0011195244
153,descriptor_fr_bicyclic,0.0011027129
154,fingerprint_1716,0.0010976979
155,fingerprint_383,0.0010923034
156,fingerprint_1414,0.001087865
157,fingerprint_294,0.0010793275
158,descriptor_SlogP_VSA12,0.0010752373
159,fingerprint_339,0.0010644881
160,fingerprint_1452,0.0010536611
161,descriptor_SMR_VSA4,0.0010389481
162,fingerprint_502,0.0010234108
163,descriptor_fr_pyridine,0.0010158146
164,fingerprint_92,0.0010008104
165,fingerprint_283,0.0009973183
166,fingerprint_203,0.0009776547
167,fingerprint_1456,0.0009721782
168,fingerprint_20,0.0009495119
169,descriptor_RingCount,0.0009040443
170,fingerprint_463,0.0008956038
171,fingerprint_35,0.00087051286
172,fingerprint_192,0.000863774
173,fingerprint_1917,0.00085358816
174,fingerprint_843,0.0008477071
175,descriptor_fr_allylic_oxid,0.0008475571
176,fingerprint_1502,0.00078917184
177,descriptor_NumAromaticCarbocycles,0.0007830499
178,descriptor_fr_unbrch_alkane,0.0007768393
179,fingerprint_1187,0.000774677
180,descriptor_SlogP_VSA1,0.000768161
181,fingerprint_392,0.00076593936
182,fingerprint_1750,0.0007575148
183,descriptor_fr_alkyl_halide,0.00075190235
184,fingerprint_1280,0.0007475621
185,fingerprint_1385,0.0007457542
186,fingerprint_1395,0.00073743693
187,fingerprint_666,0.00071917655
188,fingerprint_1162,0.0007086604
189,fingerprint_348,0.0007055378
190,fingerprint_1400,0.0006992729
191,fingerprint_59,0.0006680898
192,descriptor_fr_benzene,0.0006652109
193,fingerprint_1170,0.0006627182
194,fingerprint_679,0.0006529695
195,fingerprint_389,0.0006323304
196,fingerprint_1855,0.00062330416
